,Year,Month,Unemployment level,Date,Age
477,2006,Sep,1197.0,2006-09,20 to 24 years
478,2007,Sep,1371.0,2007-09,20 to 24 years
479,2008,Sep,1673.0,2008-09,20 to 24 years
480,2009,Sep,2262.0,2009-09,20 to 24 years
481,2010,Sep,2234.0,2010-09,20 to 24 years
482,2011,Sep,2240.0,2011-09,20 to 24 years
483,2012,Sep,1903.0,2012-09,20 to 24 years
484,2013,Sep,2009.0,2013-09,20 to 24 years
485,2014,Sep,1817.0,2014-09,20 to 24 years
486,2015,Sep,1422.0,2015-09,20 to 24 years
487,2016,Sep,1245.0,2016-09,20 to 24 years
488,2017,Sep,1160.0,2017-09,20 to 24 years
489,2018,Sep,1044.0,2018-09,20 to 24 years
490,2019,Sep,960.0,2019-09,20 to 24 years
491,2020,Sep,1813.0,2020-09,20 to 24 years
492,2021,Sep,1141.0,2021-09,20 to 24 years
493,2022,Sep,1030.0,2022-09,20 to 24 years
495,1969,Oct,604.0,1969-10,20 to 24 years
496,1970,Oct,987.0,1970-10,20 to 24 years
497,1971,Oct,1092.0,1971-10,20 to 24 years
498,1972,Oct,1187.0,1972-10,20 to 24 years
499,1973,Oct,917.0,1973-10,20 to 24 years
500,1974,Oct,1258.0,1974-10,20 to 24 years
501,1975,Oct,1888.0,1975-10,20 to 24 years
502,1976,Oct,1784.0,1976-10,20 to 24 years
503,1977,Oct,1558.0,1977-10,20 to 24 years
504,1978,Oct,1347.0,1978-10,20 to 24 years
505,1979,Oct,1500.0,1979-10,20 to 24 years
506,1980,Oct,1973.0,1980-10,20 to 24 years
507,1981,Oct,2039.0,1981-10,20 to 24 years
508,1982,Oct,2531.0,1982-10,20 to 24 years
509,1983,Oct,2181.0,1983-10,20 to 24 years
510,1984,Oct,1780.0,1984-10,20 to 24 years
511,1985,Oct,1742.0,1985-10,20 to 24 years
512,1986,Oct,1629.0,1986-10,20 to 24 years
513,1987,Oct,1295.0,1987-10,20 to 24 years
514,1988,Oct,1219.0,1988-10,20 to 24 years
515,1989,Oct,1217.0,1989-10,20 to 24 years
516,1990,Oct,1373.0,1990-10,20 to 24 years
517,1991,Oct,1663.0,1991-10,20 to 24 years
518,1992,Oct,1610.0,1992-10,20 to 24 years
519,1993,Oct,1439.0,1993-10,20 to 24 years
520,1994,Oct,1275.0,1994-10,20 to 24 years
