yearAndMonth,Year,Month,Unemployment(in thousands)
2009-07,2009,Jul,74
2009-08,2009,Aug,74
2009-09,2009,Sep,74
2009-10,2009,Oct,74
2009-11,2009,Nov,74
2009-12,2009,Dec,73
2010-01,2010,Jan,74
2010-02,2010,Feb,74
2010-03,2010,Mar,74
2010-04,2010,Apr,74
2010-05,2010,May,74
2010-06,2010,Jun,74
2010-07,2010,Jul,74
2010-08,2010,Aug,74
2010-09,2010,Sep,74
2010-10,2010,Oct,73
2010-11,2010,Nov,73
2010-12,2010,Dec,73
2011-01,2011,Jan,73
2011-02,2011,Feb,73
2011-03,2011,Mar,73
2011-04,2011,Apr,73
2011-05,2011,May,73
2011-06,2011,Jun,73
2011-07,2011,Jul,73
2011-08,2011,Aug,73
2011-09,2011,Sep,73
2011-10,2011,Oct,73
2011-11,2011,Nov,73
2011-12,2011,Dec,73
2012-01,2012,Jan,73
2012-02,2012,Feb,73
2012-03,2012,Mar,73
2012-04,2012,Apr,73
2012-05,2012,May,73
2012-06,2012,Jun,73
2012-07,2012,Jul,73
2012-08,2012,Aug,72
2012-09,2012,Sep,73
2012-10,2012,Oct,73
2012-11,2012,Nov,72
2012-12,2012,Dec,73
2013-01,2013,Jan,73
2013-02,2013,Feb,72
2013-03,2013,Mar,72
2013-04,2013,Apr,72
2013-05,2013,May,72
2013-06,2013,Jun,72
2013-07,2013,Jul,72
2013-08,2013,Aug,72
2013-09,2013,Sep,72
2013-10,2013,Oct,71
2013-11,2013,Nov,72
2013-12,2013,Dec,72
2014-01,2014,Jan,72
2014-02,2014,Feb,71
2014-03,2014,Mar,72
2014-04,2014,Apr,71
2014-05,2014,May,71
2014-06,2014,Jun,72
2014-07,2014,Jul,72
2014-08,2014,Aug,72
2014-09,2014,Sep,72
2014-10,2014,Oct,71
2014-11,2014,Nov,71
2014-12,2014,Dec,71
2015-01,2015,Jan,71
2015-02,2015,Feb,71
2015-03,2015,Mar,71
2015-04,2015,Apr,71
2015-05,2015,May,72
2015-06,2015,Jun,71
2015-07,2015,Jul,71
2015-08,2015,Aug,71
2015-09,2015,Sep,71
